Date : 2025-03-06 15:45:46
Directory : /home/kid-a/homeworks/compiler/lab1
Total : 1013 files,  130883 codes, 6244 comments, 21489 blanks, all 158616 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C++          |        551 |     86,067 |      1,625 |     14,801 |    102,493 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130437.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130451.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130455.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130456.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130459.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130505.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130508.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130509.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130510.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130512.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130635.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130656.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130701.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130703.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130723.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130727.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130729.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305130830.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131055.l                  | Lex          |        121 |          0 |         12 |        133 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131057.l                  | Lex          |        120 |          0 |         12 |        132 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131105.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131410.l                  | Lex          |        130 |          0 |         14 |        144 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131537.l                  | Lex          |        123 |          0 |         13 |        136 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131628.l                  | Lex          |        114 |          0 |         14 |        128 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131633.l                  | Lex          |        113 |          0 |         14 |        127 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131635.l                  | Lex          |        112 |          0 |         14 |        126 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131640.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131644.l                  | Lex          |        111 |          0 |         11 |        122 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305131829.l                  | Lex          |        113 |          0 |         10 |        123 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132014.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132101.l                  | Lex          |        110 |          0 |         10 |        120 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132102.l                  | Lex          |        111 |          0 |         10 |        121 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132104.l                  | Lex          |        111 |          0 |         11 |        122 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132107.l                  | Lex          |        112 |          0 |         10 |        122 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132127.l                  | Lex          |        116 |          0 |         10 |        126 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132223.l                  | Lex          |        116 |          0 |         10 |        126 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305132235.l                  | Lex          |        116 |          0 |         10 |        126 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141747.l                  | Lex          |        120 |          0 |         12 |        132 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141806.l                  | Lex          |        120 |          0 |         11 |        131 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141809.l                  | Lex          |        125 |          0 |         12 |        137 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141821.l                  | Lex          |        139 |          0 |         13 |        152 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141827.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141830.l                  | Lex          |        120 |          0 |         13 |        133 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141848.l                  | Lex          |        125 |          0 |         12 |        137 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141905.l                  | Lex          |        263 |          0 |         49 |        312 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141909.l                  | Lex          |        124 |          0 |         13 |        137 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141912.l                  | Lex          |        263 |          0 |         49 |        312 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141919.l                  | Lex          |        124 |          0 |         13 |        137 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141926.l                  | Lex          |        138 |          0 |         12 |        150 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305141939.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142004.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142006.l                  | Lex          |        166 |          0 |         17 |        183 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142310.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142405.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142408.l                  | Lex          |        160 |          0 |         15 |        175 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142442.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142804.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142806.l                  | Lex          |        164 |          0 |         13 |        177 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305142819.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203051.l                  | Lex          |        139 |          0 |         12 |        151 |
| /home/kid-a/homeworks/compiler/lab1/.history/lex_20250305203052.l                  | Lex          |        139 |          0 |         12 |        151 |
